영역 ,하위역량,하위역량지표,역량순번,하위요소,전체순번,문항(보정),응답예시,비고
"창업공감 및 
동기부여 역량","창업생태계
이해역량","창업정보
사회적유대",1,창업정보 ,1,나는 정부의 창업진흥 정책과 지원제도 및 변화에 관심이 많다. ,5,선택
"창업공감 및 
동기부여 역량","창업생태계
이해역량","창업정보
사회적유대",2,창업정보,2,나는 창업 자금조달 방법 및 금융자본의 활용 방안을 찾아본다.,5,선택
"창업공감 및 
동기부여 역량","창업생태계
이해역량","창업정보
사회적유대",3,창업정보,3,나는 창업의 성공과 실패 사례 등 창업문화에 관심이 있다. ,5,선택
"창업공감 및 
동기부여 역량","창업생태계
이해역량","창업정보
사회적유대",4,사회적유대,4,"나는 인프라, 전문가, 민간기관 등 창업지원 관련 정보에 관심이 크다.",5,선택
"창업공감 및 
동기부여 역량","창업생태계
이해역량","창업정보
사회적유대",5,사회적유대,5,나는 창업 교육기관 및 인적 네트워크 등 창업 인적자원 정보를 찾아본다.,5,선택
"창업공감 및 
동기부여 역량","창업생태계
이해역량","창업정보
사회적유대",6,창업정보,6,나는 창업기업의 투자유치(IR) 및 홍보마케팅 방안과 적용 사례에 관심이 있다. ,5,선택
"창업공감 및 
동기부여 역량","창업생태계
이해역량","창업정보
사회적유대",7,사회적유대,7,나는 가족 및 친인척의 창업이나 기업 운영 과정을 보았기 때문에 창업생태계를 안다.,5,제외
"창업공감 및 
동기부여 역량","창업생태계
이해역량","창업정보
사회적유대",8,사회적유대,8,"나는 지인 및 창업 단체를 통해 창업생태계 관련 교육이나 창업 네트워크 경험으로 
창업생태계를 안다.",3,제외
"창업공감 및 
동기부여 역량","창업구성원
공감역량","알아차림
인정",1,알아차림,9,나는 동료들의 정서를 잘 알아채고 원만한 관계를 유지하려고 한다.,3,선택
"창업공감 및 
동기부여 역량","창업구성원
공감역량","알아차림
인정",2,알아차림,10,나는 동료들의 감정상태에 관심을 기울이고 공감하고자 한다.,3,선택
"창업공감 및 
동기부여 역량","창업구성원
공감역량","알아차림
인정",3,인정,11,나는 동료들의 성취에 대해 적극적으로 칭찬하고 응원하려고 한다.,3,선택
"창업공감 및 
동기부여 역량","창업구성원
공감역량","알아차림
인정",4,알아차림,12,나는 동료들의 업무상 어려움에 관심을 기울이고 함께 해결하려고 한다.,5,선택
"창업공감 및 
동기부여 역량","창업구성원
공감역량","알아차림
인정",5,인정,13,나는 업무상 고민을 동료들에게 솔직하게 공유하고 함께 해결하려고 한다.,5,선택
"창업공감 및 
동기부여 역량","창업구성원
공감역량","알아차림
인정",6,알아차림,14,나는 동료 간의 갈등에 관심을 가지고 적극적으로 중재하고 해결하려고 한다.,5,선택
"창업공감 및 
동기부여 역량","창업구성원
공감역량","알아차림
인정",7,인정,15,나는 동료들과 업무수행 관련 의사소통이 원활하다.,3,선택
"창업공감 및 
동기부여 역량","창업구성원
공감역량","알아차림
인정",8,인정,16,나는 동료의 바람직한 아이디어를 적극적으로 수용한다.,5,선택
"창업공감 및 
동기부여 역량","창업동기
부여역량","정보공유
책임감",1,책임감,17,나는 창업기업의 비전을 이해하고 업무수행 시 반영한다.,5,선택
